title	url	imdbRating	ratingCount	duration	year																																							
Der Vagabund und das Kind (1921)	http://www.imdb.com/title/tt0012349/	8.4	40550	54	1921																																							
Goldrausch (1925)	http://www.imdb.com/title/tt0015864/	8.3	45319	95	1925																																							
Metropolis (1927)	http://www.imdb.com/title/tt0017136/	8.4	81007	153	1927																																							
Der General (1926)	http://www.imdb.com/title/tt0017925/	8.3	37521	107	1926																																							
Lichter der Großstadt (1931)	http://www.imdb.com/title/tt0021749/	8.7	70057	87	1931																																							
M (1931)	http://www.imdb.com/title/tt0022100/	8.5	73726	117	1931																																							
Es geschah in einer Nacht (1934)	http://www.imdb.com/title/tt0025316/	8.3	46503	105	1934																																							
Moderne Zeiten (1936)	http://www.imdb.com/title/tt0027977/	8.6	90847	87	1936																																							
Vom Winde verweht (1939)	http://www.imdb.com/title/tt0031381/	8.2	160414	238	1939																																							
Mr. Smith geht nach Washington (1939)	http://www.imdb.com/title/tt0031679/	8.4	58169	129	1939																																							
Der Zauberer von Oz (1939)	http://www.imdb.com/title/tt0032138/	8.1	209506	102	1939																																							
Früchte des Zorns (1940)	http://www.imdb.com/title/tt0032551/	8.2	45737	129	1940																																							
Der große Diktator (1940)	http://www.imdb.com/title/tt0032553/	8.5	87969	125	1940																																							
Rebecca (1940)	http://www.imdb.com/title/tt0032976/	8.3	65670	130	1940																																							
Citizen Kane (1941)	http://www.imdb.com/title/tt0033467/	8.5	228617	119	1941																																							
Die Spur des Falken (1941)	http://www.imdb.com/title/tt0033870/	8.2	86012	100	1941																																							
Casablanca (1942)	http://www.imdb.com/title/tt0034583/	8.6	296802	102	1942																																							
Frau ohne Gewissen (1944)	http://www.imdb.com/title/tt0036775/	8.5	71266	107	1944																																							
Die besten Jahre unseres Lebens (1946)	http://www.imdb.com/title/tt0036868/	8.3	30002	172	1946																																							
Tote schlafen fest (1946)	http://www.imdb.com/title/tt0038355/	8.1	50020	114	1946																																							
It's a Wonderful Life (1946)	http://www.imdb.com/title/tt0038650/	8.7	197764	130	1946																																							
Berüchtigt (1946)	http://www.imdb.com/title/tt0038787/	8.2	56306	101	1946																																							
Fahrraddiebe (1948)	http://www.imdb.com/title/tt0040522/	8.4	63797	88	1948																																							
Cocktail für eine Leiche (1948)	http://www.imdb.com/title/tt0040746/	8.1	72370	80	1948																																							
Der Schatz der Sierra Madre (1948)	http://www.imdb.com/title/tt0040897/	8.4	59298	126	1948																																							
Der dritte Mann (1949)	http://www.imdb.com/title/tt0041959/	8.4	85964	104	1949																																							
Alles über Eva (1950)	http://www.imdb.com/title/tt0042192/	8.4	61738	138	1950																																							
Rashomon (1950)	http://www.imdb.com/title/tt0042876/	8.4	74219	88	1950																																							
Boulevard der Dämmerung (1950)	http://www.imdb.com/title/tt0043014/	8.6	102072	110	1950																																							
Der Fremde im Zug (1951)	http://www.imdb.com/title/tt0044079/	8.1	69387	92	1951																																							
Zwölf Uhr mittags (1952)	http://www.imdb.com/title/tt0044706/	8.2	60817	85	1952																																							
Ikiru - Einmal richtig leben (1952)	http://www.imdb.com/title/tt0044741/	8.4	29478	143	1952																																							
Du sollst mein Glücksstern sein (1952)	http://www.imdb.com/title/tt0045152/	8.4	108115	103	1952																																							
Ein Herz und eine Krone (1953)	http://www.imdb.com/title/tt0046250/	8.1	69739	118	1953																																							
Stalag 17 (1953)	http://www.imdb.com/title/tt0046359/	8.1	36013	116	1953																																							
